Touristic concept;National Total;Autonomous Communities and Cities;Traveller's residence;Periodo;Total
Number of stays;National Total;01 Andalucía;Residents abroad;2019M08;126.000
Number of stays;National Total;01 Andalucía;Residents abroad;2019M07;114.000
Number of stays;National Total;01 Andalucía;Residents abroad;2019M06;117.000
Number of stays;National Total;01 Andalucía;Residents abroad;2019M05;121.000
Number of stays;National Total;01 Andalucía;Residents abroad;2019M04;114.000
Number of stays;National Total;01 Andalucía;Residents abroad;2019M03;76.000
Number of stays;National Total;01 Andalucía;Residents abroad;2019M02;61.000
Number of stays;National Total;01 Andalucía;Residents abroad;2019M01;57.000
Number of stays;National Total;01 Andalucía;Residents abroad;2018M12;55.000
Number of stays;National Total;01 Andalucía;Residents abroad;2018M11;56.000
Number of stays;National Total;01 Andalucía;Residents abroad;2018M10;104.000
Number of stays;National Total;01 Andalucía;Residents abroad;2018M09;115.000
Number of stays;National Total;01 Andalucía;Residents abroad;2018M08;109.000
Number of stays;National Total;01 Andalucía;Residents abroad;2018M07;99.000
Number of stays;National Total;01 Andalucía;Residents abroad;2018M06;92.000
Number of stays;National Total;01 Andalucía;Residents abroad;2018M05;101.000
Number of stays;National Total;01 Andalucía;Residents abroad;2018M04;91.000
Number of stays;National Total;01 Andalucía;Residents abroad;2018M03;61.000
Number of stays;National Total;01 Andalucía;Residents abroad;2018M02;48.000
Number of stays;National Total;01 Andalucía;Residents abroad;2018M01;44.000
Number of stays;National Total;02 Aragón;Total;2024M09;""
Number of stays;National Total;02 Aragón;Total;2024M08;""
Number of stays;National Total;02 Aragón;Total;2024M07;""
Number of stays;National Total;02 Aragón;Total;2024M06;15.066
Number of stays;National Total;02 Aragón;Total;2024M05;15.058
Number of stays;National Total;02 Aragón;Total;2024M04;12.297
Number of stays;National Total;02 Aragón;Total;2024M03;17.475
Number of stays;National Total;02 Aragón;Total;2024M02;14.372
Number of stays;National Total;02 Aragón;Total;2024M01;10.900
Number of stays;National Total;02 Aragón;Total;2023M12;15.000
Number of stays;National Total;02 Aragón;Total;2023M11;9.000
Number of stays;National Total;02 Aragón;Total;2023M10;15.000
Number of stays;National Total;02 Aragón;Total;2023M09;15.000
Number of stays;National Total;02 Aragón;Total;2023M08;21.000
Number of stays;National Total;02 Aragón;Total;2023M07;17.000
Number of stays;National Total;02 Aragón;Total;2023M06;12.000
Number of stays;National Total;02 Aragón;Total;2023M05;10.000
Number of stays;National Total;02 Aragón;Total;2023M04;15.000
Number of stays;National Total;02 Aragón;Total;2023M03;12.000
Number of stays;National Total;02 Aragón;Total;2023M02;14.000
Number of stays;National Total;02 Aragón;Total;2023M01;10.000
Number of stays;National Total;02 Aragón;Total;2022M12;13.000
Number of stays;National Total;02 Aragón;Total;2022M11;7.000
Number of stays;National Total;02 Aragón;Total;2022M10;13.000
Number of stays;National Total;02 Aragón;Total;2022M09;13.000
Number of stays;National Total;02 Aragón;Total;2022M08;19.000
Number of stays;National Total;02 Aragón;Total;2022M07;16.000
Number of stays;National Total;02 Aragón;Total;2022M06;11.000
Number of stays;National Total;02 Aragón;Total;2022M05;8.000
Number of stays;National Total;02 Aragón;Total;2022M04;13.000
Number of stays;National Total;02 Aragón;Total;2022M03;8.000
Number of stays;National Total;02 Aragón;Total;2022M02;12.000
Number of stays;National Total;02 Aragón;Total;2022M01;10.000
Number of stays;National Total;02 Aragón;Total;2021M12;11.000
Number of stays;National Total;02 Aragón;Total;2021M11;7.000
Number of stays;National Total;02 Aragón;Total;2021M10;12.000
Number of stays;National Total;02 Aragón;Total;2021M09;11.000
Number of stays;National Total;02 Aragón;Total;2021M08;18.000
Number of stays;National Total;02 Aragón;Total;2021M07;14.000
Number of stays;National Total;02 Aragón;Total;2021M06;7.000
Number of stays;National Total;02 Aragón;Total;2021M05;4.000
Number of stays;National Total;02 Aragón;Total;2021M04;4.000
Number of stays;National Total;02 Aragón;Total;2021M03;3.000
Number of stays;National Total;02 Aragón;Total;2021M02;2.000
Number of stays;National Total;02 Aragón;Total;2021M01;2.000
Number of stays;National Total;02 Aragón;Total;2020M12;2.000
Number of stays;National Total;02 Aragón;Total;2020M11;1.000
Number of stays;National Total;02 Aragón;Total;2020M10;7.000
Number of stays;National Total;02 Aragón;Total;2020M09;7.000
Number of stays;National Total;02 Aragón;Total;2020M08;12.000
Number of stays;National Total;02 Aragón;Total;2020M07;9.000
Number of stays;National Total;02 Aragón;Total;2020M06;3.000
Number of stays;National Total;02 Aragón;Total;2020M05;..
Number of stays;National Total;02 Aragón;Total;2020M04;..
Number of stays;National Total;02 Aragón;Total;2020M03;3.000
Number of stays;National Total;02 Aragón;Total;2020M02;12.000
Number of stays;National Total;02 Aragón;Total;2020M01;9.000
Number of stays;National Total;02 Aragón;Total;2019M12;12.000
Number of stays;National Total;02 Aragón;Total;2019M11;7.000
Number of stays;National Total;02 Aragón;Total;2019M10;10.000
Number of stays;National Total;02 Aragón;Total;2019M09;10.000
Number of stays;National Total;02 Aragón;Total;2019M08;17.000
Number of stays;National Total;02 Aragón;Total;2019M07;12.000
Number of stays;National Total;02 Aragón;Total;2019M06;9.000
Number of stays;National Total;02 Aragón;Total;2019M05;7.000
Number of stays;National Total;02 Aragón;Total;2019M04;9.000
Number of stays;National Total;02 Aragón;Total;2019M03;9.000
Number of stays;National Total;02 Aragón;Total;2019M02;8.000
Number of stays;National Total;02 Aragón;Total;2019M01;5.000
Number of stays;National Total;02 Aragón;Total;2018M12;8.000
Number of stays;National Total;02 Aragón;Total;2018M11;6.000
Number of stays;National Total;02 Aragón;Total;2018M10;8.000
Number of stays;National Total;02 Aragón;Total;2018M09;8.000
Number of stays;National Total;02 Aragón;Total;2018M08;14.000
Number of stays;National Total;02 Aragón;Total;2018M07;10.000
Number of stays;National Total;02 Aragón;Total;2018M06;7.000
Number of stays;National Total;02 Aragón;Total;2018M05;5.000
Number of stays;National Total;02 Aragón;Total;2018M04;7.000
Number of stays;National Total;02 Aragón;Total;2018M03;8.000
Number of stays;National Total;02 Aragón;Total;2018M02;7.000
Number of stays;National Total;02 Aragón;Total;2018M01;6.000
Number of stays;National Total;02 Aragón;Residents in Spain;2024M09;""
Number of stays;National Total;02 Aragón;Residents in Spain;2024M08;""
Number of stays;National Total;02 Aragón;Residents in Spain;2024M07;""
Number of stays;National Total;02 Aragón;Residents in Spain;2024M06;11.787
Number of stays;National Total;02 Aragón;Residents in Spain;2024M05;10.569
Number of stays;National Total;02 Aragón;Residents in Spain;2024M04;8.941
Number of stays;National Total;02 Aragón;Residents in Spain;2024M03;15.296
Number of stays;National Total;02 Aragón;Residents in Spain;2024M02;12.216
Number of stays;National Total;02 Aragón;Residents in Spain;2024M01;9.505
Number of stays;National Total;02 Aragón;Residents in Spain;2023M12;13.000
Number of stays;National Total;02 Aragón;Residents in Spain;2023M11;7.000
Number of stays;National Total;02 Aragón;Residents in Spain;2023M10;12.000
Number of stays;National Total;02 Aragón;Residents in Spain;2023M09;11.000
Number of stays;National Total;02 Aragón;Residents in Spain;2023M08;16.000
Number of stays;National Total;02 Aragón;Residents in Spain;2023M07;13.000
Number of stays;National Total;02 Aragón;Residents in Spain;2023M06;10.000
Number of stays;National Total;02 Aragón;Residents in Spain;2023M05;6.000
Number of stays;National Total;02 Aragón;Residents in Spain;2023M04;13.000
Number of stays;National Total;02 Aragón;Residents in Spain;2023M03;10.000
Number of stays;National Total;02 Aragón;Residents in Spain;2023M02;12.000
Number of stays;National Total;02 Aragón;Residents in Spain;2023M01;9.000
Number of stays;National Total;02 Aragón;Residents in Spain;2022M12;12.000
Number of stays;National Total;02 Aragón;Residents in Spain;2022M11;6.000
Number of stays;National Total;02 Aragón;Residents in Spain;2022M10;10.000
Number of stays;National Total;02 Aragón;Residents in Spain;2022M09;10.000
Number of stays;National Total;02 Aragón;Residents in Spain;2022M08;15.000
Number of stays;National Total;02 Aragón;Residents in Spain;2022M07;12.000
Number of stays;National Total;02 Aragón;Residents in Spain;2022M06;9.000
Number of stays;National Total;02 Aragón;Residents in Spain;2022M05;6.000
Number of stays;National Total;02 Aragón;Residents in Spain;2022M04;11.000
Number of stays;National Total;02 Aragón;Residents in Spain;2022M03;7.000
Number of stays;National Total;02 Aragón;Residents in Spain;2022M02;10.000
Number of stays;National Total;02 Aragón;Residents in Spain;2022M01;9.000
Number of stays;National Total;02 Aragón;Residents in Spain;2021M12;10.000
Number of stays;National Total;02 Aragón;Residents in Spain;2021M11;5.000
Number of stays;National Total;02 Aragón;Residents in Spain;2021M10;11.000
Number of stays;National Total;02 Aragón;Residents in Spain;2021M09;9.000
Number of stays;National Total;02 Aragón;Residents in Spain;2021M08;16.000
Number of stays;National Total;02 Aragón;Residents in Spain;2021M07;12.000
Number of stays;National Total;02 Aragón;Residents in Spain;2021M06;7.000
Number of stays;National Total;02 Aragón;Residents in Spain;2021M05;4.000
Number of stays;National Total;02 Aragón;Residents in Spain;2021M04;4.000
Number of stays;National Total;02 Aragón;Residents in Spain;2021M03;3.000
Number of stays;National Total;02 Aragón;Residents in Spain;2021M02;2.000
Number of stays;National Total;02 Aragón;Residents in Spain;2021M01;1.000
Number of stays;National Total;02 Aragón;Residents in Spain;2020M12;2.000
Number of stays;National Total;02 Aragón;Residents in Spain;2020M11;1.000
Number of stays;National Total;02 Aragón;Residents in Spain;2020M10;6.000
Number of stays;National Total;02 Aragón;Residents in Spain;2020M09;7.000
Number of stays;National Total;02 Aragón;Residents in Spain;2020M08;10.000
Number of stays;National Total;02 Aragón;Residents in Spain;2020M07;8.000
Number of stays;National Total;02 Aragón;Residents in Spain;2020M06;3.000
Number of stays;National Total;02 Aragón;Residents in Spain;2020M05;..
Number of stays;National Total;02 Aragón;Residents in Spain;2020M04;..
Number of stays;National Total;02 Aragón;Residents in Spain;2020M03;3.000
Number of stays;National Total;02 Aragón;Residents in Spain;2020M02;11.000
Number of stays;National Total;02 Aragón;Residents in Spain;2020M01;8.000
Number of stays;National Total;02 Aragón;Residents in Spain;2019M12;10.000
Number of stays;National Total;02 Aragón;Residents in Spain;2019M11;6.000
Number of stays;National Total;02 Aragón;Residents in Spain;2019M10;8.000
Number of stays;National Total;02 Aragón;Residents in Spain;2019M09;7.000
Number of stays;National Total;02 Aragón;Residents in Spain;2019M08;12.000
Number of stays;National Total;02 Aragón;Residents in Spain;2019M07;8.000
Number of stays;National Total;02 Aragón;Residents in Spain;2019M06;7.000
Number of stays;National Total;02 Aragón;Residents in Spain;2019M05;5.000
Number of stays;National Total;02 Aragón;Residents in Spain;2019M04;7.000
Number of stays;National Total;02 Aragón;Residents in Spain;2019M03;8.000
Number of stays;National Total;02 Aragón;Residents in Spain;2019M02;7.000
Number of stays;National Total;02 Aragón;Residents in Spain;2019M01;5.000
Number of stays;National Total;02 Aragón;Residents in Spain;2018M12;7.000
Number of stays;National Total;02 Aragón;Residents in Spain;2018M11;5.000
Number of stays;National Total;02 Aragón;Residents in Spain;2018M10;7.000
Number of stays;National Total;02 Aragón;Residents in Spain;2018M09;6.000
Number of stays;National Total;02 Aragón;Residents in Spain;2018M08;10.000
Number of stays;National Total;02 Aragón;Residents in Spain;2018M07;7.000
Number of stays;National Total;02 Aragón;Residents in Spain;2018M06;5.000
Number of stays;National Total;02 Aragón;Residents in Spain;2018M05;3.000
Number of stays;National Total;02 Aragón;Residents in Spain;2018M04;5.000
Number of stays;National Total;02 Aragón;Residents in Spain;2018M03;7.000
Number of stays;National Total;02 Aragón;Residents in Spain;2018M02;6.000
Number of stays;National Total;02 Aragón;Residents in Spain;2018M01;5.000
Number of stays;National Total;02 Aragón;Residents abroad;2024M09;""
