Touristic concept;National Total;Autonomous Communities and Cities;Traveller's residence;Periodo;Total
Number of stays;National Total;01 Andalucía;Residents in Spain;2022M12;91.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2022M11;63.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2022M10;82.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2022M09;109.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2022M08;168.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2022M07;142.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2022M06;104.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2022M05;84.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2022M04;103.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2022M03;56.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2022M02;68.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2022M01;52.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2021M12;76.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2021M11;51.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2021M10;78.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2021M09;94.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2021M08;164.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2021M07;136.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2021M06;88.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2021M05;59.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2021M04;27.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2021M03;26.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2021M02;17.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2021M01;21.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2020M12;25.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2020M11;12.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2020M10;47.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2020M09;62.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2020M08;129.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2020M07;94.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2020M06;36.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2020M05;6.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2020M04;2.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2020M03;23.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2020M02;75.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2020M01;53.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2019M12;77.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2019M11;58.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2019M10;63.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2019M09;84.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2019M08;135.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2019M07;98.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2019M06;81.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2019M05;78.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2019M04;74.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2019M03;59.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2019M02;52.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2019M01;40.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2018M12;58.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2018M11;46.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2018M10;55.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2018M09;72.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2018M08;115.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2018M07;88.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2018M06;69.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2018M05;54.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2018M04;59.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2018M03;59.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2018M02;43.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2018M01;34.000
Number of stays;National Total;01 Andalucía;Residents abroad;2024M09;""
Number of stays;National Total;01 Andalucía;Residents abroad;2024M08;""
Number of stays;National Total;01 Andalucía;Residents abroad;2024M07;""
Number of stays;National Total;01 Andalucía;Residents abroad;2024M06;169.942
Number of stays;National Total;01 Andalucía;Residents abroad;2024M05;196.831
Number of stays;National Total;01 Andalucía;Residents abroad;2024M04;181.346
Number of stays;National Total;01 Andalucía;Residents abroad;2024M03;129.191
Number of stays;National Total;01 Andalucía;Residents abroad;2024M02;112.655
Number of stays;National Total;01 Andalucía;Residents abroad;2024M01;91.398
Number of stays;National Total;01 Andalucía;Residents abroad;2023M12;95.000
